_id,Project ID,Addresses,Anchor Address,Status,Ward Number,Ward Name,Affordable Homes Approved,Rent-Controlled Market Units Approved,RGI Homes Approved,geometry
1,ARH0283,Downsview Park ,70 Canuck Ave,Planning Applications Under Review,6,York Centre,2220,0,0,"{""type"": ""Point"", ""coordinates"": [-79.48338096, 43.74407563]}"
2,ARH0141,3377 Bayview Avenue - Phase 2,3377 Bayview Ave,Planning Applications Under Review,17,Don Valley North,752,0,0,"{""type"": ""Point"", ""coordinates"": [-79.39208386, 43.79714553]}"
3,ARH0245,Regent Park Phase 4 and 5 (multiple addresses),591 Dundas St E,Planning Applications Under Review,13,Toronto Centre,637,0,0,"{""type"": ""Point"", ""coordinates"": [-79.362694, 43.661805]}"
4,ARH0110,251 Esther Shiner Boulevard,251 Esther Shiner Blvd,Pre-Planning,17,Don Valley North,543,603,60,"{""type"": ""Point"", ""coordinates"": [-79.36549304, 43.76884546]}"
5,ARH0242,"259 Lakeshore blvd East, 200 Queens Quay East (Quayside Blocks 1 and 2)",259 Lake Shore Blvd,Approved OPAs and Zoning By-Law Amendments,10,Spadina-Fort York,551,0,0,"{""type"": ""Point"", ""coordinates"": [-79.36340485, 43.64620743]}"
6,ARH0139,3326 Bloor Street West and 1226 Islington Ave (Bloor/Islington),3326 Bloor St W,Planning Applications Under Review,3,Etobicoke-Lakeshore,444,466,49,"{""type"": ""Point"", ""coordinates"": [-79.52539249, 43.64459812]}"
7,ARH0159,40 Bushby Drive,40 Bushby Dr,Planning Applications Under Review,24,Scarborough-Guildwood,443,491,49,"{""type"": ""Point"", ""coordinates"": [-79.25113216, 43.7745567]}"
8,ARH0207,770 Don Mills Road,770 Don Mills Rd,Approved OPAs and Zoning By-Law Amendments,16,Don Valley East,376,836,42,"{""type"": ""Point"", ""coordinates"": [-79.33814896, 43.7164526]}"
9,ARH0257,191-199 College Street and 74-76 Henry Street,191 College St,Planning Applications Under Review,11,University-Rosedale,408,0,0,"{""type"": ""Point"", ""coordinates"": [-79.39478277, 43.658842]}"
10,ARH0173,50 Wilson Heights - Block 2,50 Wilson Heights Blvd,Approved OPAs and Zoning By-Law Amendments,6,York Centre,346,383,38,"{""type"": ""Point"", ""coordinates"": [-79.44911461, 43.73538198]}"
11,ARH0030,1350 Sheppard Avenue West (Downsview Area Secondary Plan - William Baker District),1350 Sheppard Ave W,Planning Applications Under Review,6,York Centre,340,0,0,"{""type"": ""Point"", ""coordinates"": [-79.48489413, 43.74531822]}"
12,ARH0247,333 Lake Shore Boulevard East (Quayside Blocks 3 and 4),333 Lake Shore Blvd E,Planning Applications Under Review,10,Spadina-Fort York,324,0,0,"{""type"": ""Point"", ""coordinates"": [-79.359578, 43.647133]}"
13,ARH0097,2444 Eglinton Avenue East,2444 Eglinton Ave E,Approved OPAs and Zoning By-Law Amendments,21,Scarborough Centre,275,306,31,"{""type"": ""Point"", ""coordinates"": [-79.26438687, 43.73373295]}"
14,ARH0020,1250 Markham Road,1250 Markham Road,Planning Applications Under Review,24,Scarborough-Guildwood,303,0,0,"{""type"": ""Point"", ""coordinates"": [-79.23422386, 43.77892625]}"
15,ARH0331,123 Garratt Boulevard (Downsview Secondar Plan),123 Garratt Boulevard,Approved OPAs and Zoning By-Law Amendments,6,York Centre,295,0,0,"{""type"": ""Point"", ""coordinates"": [-79.4728069, 43.73733115]}"
16,ARH0211,805 Don Mills Road,805 Don Mills Rd,Approved OPAs and Zoning By-Law Amendments,16,Don Valley East,257,268,29,"{""type"": ""Point"", ""coordinates"": [-79.33830504, 43.72021841]}"
17,ARH0246,"West Don Lands (Blocks 3W, 4W, 7W)",373 Front St E,Occupied,13,Toronto Centre,275,0,0,"{""type"": ""Point"", ""coordinates"": [-79.35783621, 43.65143587]}"
18,ARH0232,"Bloor-Kipling (Block 6, 7) 3741 Bloor Street West and part 925 Kipling Avenue",5207 Dundas St W ,Planning Applications Under Review,3,Etobicoke-Lakeshore,234,490,26,"{""type"": ""Point"", ""coordinates"": [-79.53339886, 43.64010721]}"
19,ARH0045,153-185 Eastern Avenue,153 Eastern Avenue,Planning Applications Under Review,13,Toronto Centre,256,0,0,"{""type"": ""Point"", ""coordinates"": [-79.355846, 43.654565]}"
20,ARH0208,777 Victoria Park,777 Victoria Park Ave,Started Construction,20,Scarborough Southwest,230,449,26,"{""type"": ""Point"", ""coordinates"": [-79.28915706, 43.69454357]}"
21,ARH0111,254 - 260 Adelaide Street West,260 Adelaide St W,Approved OPAs and Zoning By-Law Amendments,10,Spadina-Fort York,254,0,0,"{""type"": ""Point"", ""coordinates"": [-79.38956419, 43.64830654]}"
22,ARH0204,705 Warden Avenue,705 Warden Ave,Planning Applications Under Review,20,Scarborough Southwest,225,350,25,"{""type"": ""Point"", ""coordinates"": [-79.28062463, 43.71343298]}"
23,ARH0276,49 Ontario St.,49 Ontario St,Approved OPAs and Zoning By-Law Amendments,13,Toronto Centre,245,0,0,"{""type"": ""Point"", ""coordinates"": [-79.36597663, 43.66549807]}"
24,ARH0330,Bloor-Kipling (Block 3),3725 Bloor St W,Approved OPAs and Zoning By-Law Amendments,3,Etobicoke-Lakeshore,230,0,0,"{""type"": ""Point"", ""coordinates"": [-79.53339886, 43.64010721]}"
25,ARH0050,158 Borough Drive,158 Borough Dr,Approved OPAs and Zoning By-Law Amendments,21,Scarborough Centre,206,458,23,"{""type"": ""Point"", ""coordinates"": [-79.25667572, 43.77269972]}"
26,ARH0233,Bloor-Kipling (Block 1),5207 Dundas St W ,Started Construction,3,Etobicoke-Lakeshore,196,507,22,"{""type"": ""Point"", ""coordinates"": [-79.53339886, 43.64010721]}"
27,ARH0129,300 - 304 The East Mall (Phase 1),300 The East Mall,Started Construction,2,Etobicoke Centre,217,0,0,"{""type"": ""Point"", ""coordinates"": [-79.557439, 43.63725567]}"
28,ARH0237,East Harbour (21 Don Valley Parkway N),21 Don Valley Parkway N,Planning Applications Under Review,14,Toronto-Danforth,215,0,0,"{""type"": ""Point"", ""coordinates"": [-79.34784114, 43.6535527]}"
29,ARH0284,610 Bay Street and 130 Elizabeth Street,610 Bay St,Approved OPAs and Zoning By-Law Amendments,11,University-Rosedale,210,0,0,"{""type"": ""Point"", ""coordinates"": [-79.38480995, 43.65617924]}"
30,ARH0315,1025 The Queensway ,1025 The Queensway,Approved OPAs and Zoning By-Law Amendments,3,Etobicoke-Lakeshore,204,0,0,"{""type"": ""Point"", ""coordinates"": [-79.51524422, 43.62141496]}"
31,ARH0105,25 Sewells Road (Phase 1),25 Sewells Rd,Started Construction,25,Scarborough-Rouge Park,203,0,0,"{""type"": ""Point"", ""coordinates"": [-79.21581642, 43.80741558]}"
32,ARH0065,"1750-1900 The Queensway and 290, 300, 310, and320 North Queens Street",1750 The Queensway,Approved OPAs and Zoning By-Law Amendments,3,Etobicoke-Lakeshore,200,0,0,"{""type"": ""Point"", ""coordinates"": [-79.55665606, 43.61454954]}"
33,ARH0236,East Bayfront - Block R6 (263 Queen Quay East),263 Queens Quay East,Pre-Planning,10,Spadina-Fort York,179,126,20,"{""type"": ""Point"", ""coordinates"": [-79.36176291, 43.64649974]}"
34,ARH0234,Bloor-Kipling (Block 5),5207 Dundas St W ,Approved OPAs and Zoning By-Law Amendments,3,Etobicoke-Lakeshore,176,395,20,"{""type"": ""Point"", ""coordinates"": [-79.53339886, 43.64010721]}"
35,ARH0285,"254-266 King Street East, 427-435 Adelaide Street East and 157 Princess Street",254 King Street East,Approved OPAs and Zoning By-Law Amendments,13,Toronto Centre,190,0,0,"{""type"": ""Point"", ""coordinates"": [-79.36762382, 43.65167212]}"
36,ARH0198,65 Dundas St E - phase 2,65 Dundas St E,Occupied,13,Toronto Centre,0,0,185,"{""type"": ""Point"", ""coordinates"": [-79.37845424, 43.65601111]}"
37,ARH0248,877 Yonge Street (Phase 2),877 Yonge Street,Occupied,11,University-Rosedale,0,0,156,"{""type"": ""Point"", ""coordinates"": [-79.38805823, 43.67443505]}"
38,ARH0278,2450 Victoria Park Ave.,2450 Victoria Park Ave,Approved OPAs and Zoning By-Law Amendments,17,Don Valley North,153,0,0,"{""type"": ""Point"", ""coordinates"": [-79.32265176, 43.771389]}"
39,ARH0266,267 & 275 Merton Street,275 Merton St,Planning Applications Under Review,12,Toronto-St. Pauls,148,346,0,"{""type"": ""Point"", ""coordinates"": [-79.387918, 43.697772]}"
40,ARH0301,87 Ethel Avenue,87 Ethel Avenue,Approved OPAs and Zoning By-Law Amendments,5,York South-Weston,141,0,0,"{""type"": ""Point"", ""coordinates"": [-79.47215066, 43.66902215]}"
41,ARH0060,1710 - 1712 Ellesmere Road,1712 Ellesmere Road ,Planning Applications Under Review,24,Scarborough-Guildwood,140,0,0,"{""type"": ""Point"", ""coordinates"": [-79.248213, 43.773722]}"
42,ARH0316,50 Wilson Heights - Block 3 and 4,50 Wilson Heights Blvd,Approved OPAs and Zoning By-Law Amendments,6,York Centre,122,137,14,"{""type"": ""Point"", ""coordinates"": [-79.44911461, 43.73538198]}"
43,ARH0068,1880-1890 Eglinton Avenue East and 1523-1545 Victoria Park Avenue (Blocks D and G),1880 Eglinton Ave E,Approved OPAs and Zoning By-Law Amendments,21,Scarborough Centre,130,0,0,"{""type"": ""Point"", ""coordinates"": [-79.2994831, 43.72551889]}"
44,ARH0239,Lawrence Heights (3 Flemington Road) (Phase 2 and 3),3 Flemington Rd,Pre-Planning,8,Eglinton-Lawrence,130,0,0,"{""type"": ""Point"", ""coordinates"": [-79.44214501, 43.71915706]}"
45,ARH0321,2636 to 2654 Eglinton Avenue West,2636 Eglinton Ave W,Planning Applications Under Review,5,York South-Weston,130,0,0,"{""type"": ""Point"", ""coordinates"": [-79.47394392, 43.69110951]}"
46,ARH0174,502-508 Spadina Ave,502 Spadina Ave,Planning Applications Under Review,11,University-Rosedale,129,0,0,"{""type"": ""Point"", ""coordinates"": [-79.40081069, 43.65869418]}"
47,ARH0296,300 - 304 The East Mall (Phase 2),304 The East Mall,Planning Applications Under Review,2,Etobicoke Centre,129,0,0,"{""type"": ""Point"", ""coordinates"": [-79.55857125, 43.63802101]}"
48,ARH0037,144 Galloway Road,144 Galloway Rd,Planning Applications Under Review,24,Scarborough-Guildwood,120,0,0,"{""type"": ""Point"", ""coordinates"": [-79.19459626, 43.76071245]}"
49,ARH0224,900 Dufferin Street,900 Dufferin St,Planning Applications Under Review,9,Davenport,120,0,0,"{""type"": ""Point"", ""coordinates"": [-79.43536233, 43.65581706]}"
50,ARH0290,25 Sewells Road (Phase 2),25 Sewells Rd,Approved OPAs and Zoning By-Law Amendments,25,Scarborough-Rouge Park,117,0,0,"{""type"": ""Point"", ""coordinates"": [-79.21581642, 43.80741558]}"
51,ARH0319,775-783 Vaughan Road and 670-680 Northcliffe Boulevard,775 Vaughan Road,Planning Applications Under Review,12,Toronto-St. Pauls,117,0,0,"{""type"": ""Point"", ""coordinates"": [-79.4473257, 43.69506857]}"
52,ARH0154,"3850 and 3900 Sheppard Avenue East and 2350 to 2362 Kennedy Road (Phase 1, Blocks 5 and/or 6)",3850 Sheppard Ave E,Approved OPAs and Zoning By-Law Amendments,22,Scarborough-Agincourt,114,0,0,"{""type"": ""Point"", ""coordinates"": [-79.29225268, 43.78393853]}"
53,ARH0206,75 Tandridge Crescent,75 Tandridge Crescent,Planning Applications Under Review,1,Etobicoke North,113,0,0,"{""type"": ""Point"", ""coordinates"": [-79.54647089, 43.72900648]}"
54,ARH0073,2 Tecumseth Street and 125-133 Niagara Street,2 Tecumseth St,Planning Applications Under Review,10,Spadina-Fort York,111,0,0,"{""type"": ""Point"", ""coordinates"": [-79.40591504, 43.64071519]}"
55,ARH0153,3817 Lawrence Avenue East,3817 Lawrence Ave E,Pre-Planning,24,Scarborough-Guildwood,111,0,0,"{""type"": ""Point"", ""coordinates"": [-79.21234346, 43.76213102]}"
56,ARH0280,60 Fieldway Rd.,60 Fieldway Rd,Approved OPAs and Zoning By-Law Amendments,3,Etobicoke-Lakeshore,111,0,0,"{""type"": ""Point"", ""coordinates"": [-79.53168398, 43.63953508]}"
